Column,Method,Sample Name,CAS ,RT,Signal,Matrix ID Name,MeOH,ACN,DMSO,DCM,CHCl3,solute_smiles
BlueBird,method_1,Ethyl-4-bromocrotonate,37746-78-4,4.986,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,Ethyl-4-iodobenzoate,51934-41-9,5.872,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,FMOC-D-ORN(ALOC)-OH,214750-74-0,5.271,1,matrix ID BlueBird 1,1,0,1,0,1,Did not work
BlueBird,method_1,Flavanone,487-26-3,5.511,1,matrix ID BlueBird 1,0,1,1,1,1,Did not work
BlueBird,method_1,Flufenamic-acid,530-78-9,5.775,1,matrix ID BlueBird 1,1,1,1,0,1,Did not work
BlueBird,method_1,Hematein,475-25-2,4.766,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,METHYL 2-PHTHALIMIDOACETATE,23244-58-8,4.552,1,matrix ID BlueBird 1,0,1,1,1,1,Did not work
BlueBird,method_1,"Methyl 6-oxo-1,6-dihydropyridine-2-carboxylate",30062-34-1,2.95,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"Methyl-2,6-dimethoxybenzoate",2065-27-2,4.678,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,Methyl-3-bromo-4-iodobenzoate,249647-24-3,5.904,1,matrix ID BlueBird 1,0,1,0,1,1,Did not work
BlueBird,method_1,"Methyl-6-Oxo-1,6-dihydropyridazine-3-carboxylate",63001-30-9,2.406,1,matrix ID BlueBird 1,0,0,1,0,0,Did not work
BlueBird,method_1,Methyl-diethylphosphonoacetate,1067-74-9,3.718,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,N(im)-Trityl-L-histidine,35146-32-8,3.928,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,"N,N-Dimethyl-L-phenylalanine",17469-89-5,2.119,1,matrix ID BlueBird 1,0,0,0,0,0,Did not work
BlueBird,method_1,N-Acetyl-L-tryptophan,1218-34-4,3.949,1,matrix ID BlueBird 1,1,0,1,0,0,Did not work
BlueBird,method_1,N-Benzylidenebenzylamine,780-25-6,4.377,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,N-Phthaloylglycine,4702-13-0,4.073,1,matrix ID BlueBird 1,1,1,1,0,1,Did not work
BlueBird,method_1,"N-[(1,1-Dimethylethoxy)carbonyl]-L-histidine methyl_ester",2488-14-4,1.875,1,matrix ID BlueBird 1,1,0,1,1,1,Did not work
BlueBird,method_1,N-[(Phenylmethoxy)carbonyl]-O-(phenylmethyl)-L-serine_,20806-43-3,5.197,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,"N6-[(1,1-Dimethylethoxy)carbonyl]-N2-[(9H-fluoren-9-ylmethoxy)carbonyl]-2-methyl-D-lysine",1315449-94-5,5.699,1,matrix ID BlueBird 1,0,1,1,1,1,Did not work
BlueBird,method_1,"N6-[(1,1-Dimethylethoxy)carbonyl]-N2-[(phenylmethoxy)carbonyl]-L-lysine",2389-60-8,5.033,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,Nalpha-[(9H-Fluoren-9-ylmethoxy)carbonyl]-L-threonine tert-Butyl-Ester,120791-76-6,5.649,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
BlueBird,method_1,Phenyl-benzoate,93-99-2,5.68,1,matrix ID BlueBird 1,1,1,1,1,1,Did not work
